,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36
PL1_1,0.000862869,0,0.001670844,0.000309983,0.000829834,0.000430667,0.000641318,0.000264606,0,0.000802314,0.002556847,0.001674046,0.000325937,0.000366166,0.002115328,0.000611079,0.000621929,0.000496751,0.001032951,0.000775302,0.004826226,0.000253367,0,0.001668961,0.000786141,0,0.000219877,0.000680555,0.000548604,0.000204487,0.000218566,0.002513589,0.000438347,0.000299883,0.001805413,0.000324921,0.000945975,0.000689636,0,0.000667686,0.000858082,0.001326624,0.001630598,0.001094092,0.001365958,0.001001713,0.000511287,0.001251619,0.00058125,0.000653526,0.002408007,0.001470621,0.000868717,0.000976143,0.002305449,0,0.001367157,0.000564188,0.001136997,0.003767869,0.00029493,0.000500111,0,0.002430421,0.000429205,0.001249328,0,0.000708205,0.002014288,0.000754389,0.000418924,0.000538148
PL1_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000511287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL1_12,0.000345148,0,0,0,0,0.000861334,0,0.000264606,0,0.000401157,0,0,0,0.000366166,0.000705109,0.000611079,0.00020731,0,0,0,0.000603278,0,0,0.001668961,0.001048188,0,0.000219877,0.001020832,0.000274302,0.000613462,0.000437133,0,0.000438347,0.00089965,0,0.000649842,0.001891951,0.000689636,0.00120295,0.002670744,0.002145205,0.000442208,0.00032612,0,0.003187236,0.002003426,0,0.001251619,0.000290625,0,0.000301001,0.001470621,0,0,0,0.001109558,0,0.001128375,0.001705495,0,0.000589861,0.002000445,0,0.001041609,0.000429205,0.003747985,0,0,0.000671429,0,0,0.001076296
PL1_13,0.000172574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL1_2,0.005522364,0.004052013,0.005012531,0.003099833,0.004979005,0.010336006,0.005771858,0.0095258,0.001754879,0.003610412,0.011931954,0.011718325,0.002607494,0.003661662,0.005640874,0.006110789,0.006219292,0.000993502,0.00929656,0.004651812,0.007239339,0.001773571,0.003493572,0.003337923,0.00943369,0,0.009894459,0.010208318,0.012069278,0.009815389,0.002841362,0.00691237,0.004383466,0.001499417,0.006138403,0.005198738,0.004729877,0.006896361,0.009623597,0.00333843,0.003432327,0.002211039,0.005870152,0.008752735,0.005008514,0.002003426,0.010225733,0.008761335,0.003778125,0.001960579,0.010234028,0.011764965,0.004343583,0.005856858,0.002305449,0.002219115,0.001367157,0.004513501,0.005684984,0.003014295,0.010322565,0.006751502,0.007281288,0.004166435,0.008584096,0.007495971,0.010974539,0.006373847,0.003357147,0.002766092,0.002932465,0.00269074
PL1_4,0,0,0,0,0,0,0,0.000264606,0,0,0,0.000837023,0.000325937,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000219877,0,0,0,0.000218566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000418924,0
PL1_5,0,0,0,0,0,0,0.000641318,0.000529211,0,0,0,0,0,0.000366166,0,0.000611079,0,0,0,0.000775302,0,0,0,0.000834481,0.000524094,0,0,0,0.000274302,0.000204487,0.000655699,0.000628397,0,0,0,0,0.000472988,0,0.00120295,0,0,0,0,0.001094092,0.001365958,0,0,0.001251619,0.000290625,0.001307053,0.000301001,0,0,0,0,0,0,0,0,0,0.00029493,0,0,0.000347203,0.00085841,0,0,0,0,0,0,0
PL1_6,0,0,0.001670844,0,0,0.000430667,0,0.000793817,0,0,0,0.001674046,0.000325937,0.000366166,0,0,0,0,0,0,0,0,0.000873393,0,0.000786141,0.002641799,0.000219877,0,0.000274302,0.001840385,0.000437133,0,0,0,0,0,0,0.000689636,0,0.000667686,0.000858082,0,0.00032612,0.001094092,0.000455319,0,0.000511287,0.001564524,0.00058125,0,0,0.00073531,0,0.000488072,0,0.002219115,0,0,0,0,0.000884791,0,0,0,0.00085841,0.001249328,0,0,0,0.000251463,0,0
PL10,0,0,0,0,0,0,0.000641318,0.000529211,0,0.000802314,0,0.000837023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000219877,0,0.000548604,0,0.000437133,0,0,0,0,0,0,0,0,0,0,0,0.00032612,0,0,0,0,0.000312905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL10_1,0.000862869,0.00073673,0,0,0,0.001722668,0.000641318,0.0047629,0.002632318,0.000802314,0,0.001674046,0,0.000366166,0.002820437,0.001222158,0.000414619,0,0.002065902,0,0.000603278,0.000506735,0,0.001668961,0.00262047,0.002641799,0.001539138,0.003062495,0.003291621,0.003680771,0.001529964,0.000628397,0.000876693,0,0.000361083,0.001949527,0.000472988,0.000689636,0.002405899,0.001335372,0.003432327,0,0.000978359,0.001094092,0.000455319,0,0.002045147,0.00062581,0.0011625,0,0.001204003,0.001470621,0.001158289,0.001464215,0,0.002219115,0.000683578,0.000564188,0,0,0.002359444,0.001250278,0,0,0.002146024,0.001249328,0,0,0.000671429,0.000251463,0.000837847,0.000538148
